country,date,director,film,rate,stars
USA,14 October 1994 ,Frank Darabont,The Shawshank Redemption,9.3,"Tim Robbins,Morgan Freeman,Bob Gunton"
USA,18 July 2008 ,Christopher Nolan,The Dark Knight,9.0,"Christian Bale,Heath Ledger,Aaron Eckhart"
USA,18 December 1974 ,Francis Ford Coppola,The Godfather: Part II,9.0,"Al Pacino,Robert De Niro,Robert Duvall"
USA,19 March 2004 ,Michel Gondry,Eternal Sunshine of the Spotless Mind,8.3,"Jim Carrey,Kate Winslet,Tom Wilkinson"
USA,15 December 2000 ,Darren Aronofsky,Requiem for a Dream,8.3,"Ellen Burstyn,Jared Leto,Jennifer Connelly"
Netherlands,5 August 1993 ,Quentin Tarantino,Reservoir Dogs,8.3,"Harvey Keitel,Tim Roth,Michael Madsen"
USA,25 May 1983 ,Richard Marquand,Star Wars: Episode VI - Return of the Jedi,8.3,"Mark Hamill,Harrison Ford,Carrie Fisher"
Netherlands,11 November 2004 ,Chan-wook Park,Oldboy,8.4,"Min-sik Choi,Ji-Tae Yoo,Hye-jeong Kang"
USA,27 September 2013 ,Ron Howard,Rush,8.1,"Daniel Brühl,Chris Hemsworth,Olivia Wilde"
Netherlands,16 October 1931 ,Fritz Lang,M,8.3,"Peter Lorre,Ellen Widmann,Inge Landgut"
USA,24 September 1969 ,George Roy Hill,Butch Cassidy and the Sundance Kid,8.0,"Paul Newman,Robert Redford,Katharine Ross"
Japan,2 August 1986 ,Hayao Miyazaki,Castle in the Sky,8.0,"Mayumi Tanaka,Keiko Yokozawa,Kotoe Hatsui"
USA,25 November 1987 ,Hayao Miyazaki,Nausicaä of the Valley of the Wind,8.1,"Sumi Shimamoto,Mahito Tsujimura,Hisako Kyôda"
France,25 October 1967 ,Jean-Pierre Melville,Le Samouraï,8.1,"Alain Delon,François Périer,Nathalie Delon"
Netherlands,22 May 2008 ,José Padilha,Elite Squad,8.1,"Wagner Moura,André Ramiro,Caio Junqueira"
Netherlands,20 June 2002 ,Richard Kelly,Donnie Darko,8.0,"Jake Gyllenhaal,Jena Malone,Mary McDonnell"
USA,25 December 1975 ,Sidney Lumet,Dog Day Afternoon,8.0,"Al Pacino,John Cazale,Penelope Allen"
USA,2 March 1984 ,Rob Reiner,This Is Spinal Tap,7.9,"Rob Reiner,Michael McKean,Christopher Guest"
USA,21 December 1950 ,Henry Koster,Harvey,7.9,"James Stewart,Wallace Ford,William H. Lynn"
Soviet,24 December 1925 ,Sergei M. Eisenstein,Battleship Potemkin,8.0,"Aleksandr Antonov,Vladimir Barskiy,Grigoriy Aleksandrov"
USA,22 February 2008 ,Vincent Paronnaud,Persepolis,8.0,"Chiara Mastroianni,Catherine Deneuve,Gena Rowlands"
Netherlands,18 November 2004 ,Ömer Faruk Sorak,G.O.R.A.,8.0,"Cem Yilmaz,Özge Özberk,Ozan Güven"
Turkey,18 November 2018 ,Furkan Kopuz,Evrensel Döngü: Yasam Agacina Yolculuk,7.5,"Furkan Kopuz,Adem Yildirim,Busenur Sahin"
Turkey,26 December 2015 ,Furkan Kopuz,Bilincsizler,7.4,"Nuray Guneci,Furkan Kopuz,Metin Cemal Aydin"
Turkey,19 May 2013 ,Furkan Kopuz,Sekiz Cinayeti,6.0,"Furkan Kopuz,Ömer Faruk Kopuz,Ercan Kopuz"
USA,24 May 2002 ,Christopher Nolan,Insomnia,7.2,"Al Pacino,Robin Williams,Hilary Swank"
USA,25 April 2012 ,Faruk Aksoy,Conquest 1453,6.7,"Devrim Evin,Ibrahim Celikkol,Dilek Serbest"
USA,13 December 2013 ,Peter Jackson,The Hobbit: The Desolation of Smaug,7.8,"Ian McKellen,Martin Freeman,Richard Armitage"
USA,17 December 2014 ,Peter Jackson,The Hobbit: The Battle of the Five Armies,7.4,"Ian McKellen,Martin Freeman,Richard Armitage"
USA,10 August 2001 ,Alejandro Amenábar,The Others,7.6,"Nicole Kidman,Christopher Eccleston,Fionnula Flanagan"
Netherlands,6 May 1999 ,Christopher Nolan,Following,7.5,"Jeremy Theobald,Alex Haw,Lucy Russell"
USA,19 December 1997 ,James Cameron,Titanic,7.8,"Leonardo DiCaprio,Kate Winslet,Billy Zane"
